ts_iso,symbol,source,subsource,kind,seq_or_tradeid,px,sz,bid,ask,mid,recv_ts,ws_ts,arrival_ms,note
2025-11-10T14:05:53.835Z,SOLUSDT,ws,ws,1,1703877092,168.52,0.032,,,,0,1762783553682,1762783553835,
2025-11-10T14:05:53.835Z,SOLUSDT,ws,ws,1,1703877093,168.52,0.032,,,,0,1762783553682,1762783553835,
2025-11-10T14:05:53.835Z,SOLUSDT,ws,ws,1,1703877094,168.52,0.032,,,,0,1762783553682,1762783553835,
2025-11-10T14:05:53.835Z,SOLUSDT,ws,ws,1,1703877095,168.52,0.048,,,,0,1762783553682,1762783553835,
2025-11-10T14:05:53.835Z,SOLUSDT,ws,ws,1,1703877096,168.52,0.034,,,,0,1762783553682,1762783553835,
2025-11-10T14:05:53.855Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235396,168.52,0.027,,,,1762783553824,0,1762783553855,
2025-11-10T14:05:53.855Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235397,168.52,0.032,,,,1762783553824,0,1762783553855,
2025-11-10T14:05:53.855Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235398,168.52,0.032,,,,1762783553824,0,1762783553855,
2025-11-10T14:05:53.855Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235399,168.52,0.032,,,,1762783553824,0,1762783553855,
2025-11-10T14:05:53.855Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235400,168.52,0.032,,,,1762783553825,0,1762783553855,
2025-11-10T14:05:53.855Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235401,168.52,0.048,,,,1762783553825,0,1762783553855,
2025-11-10T14:05:53.855Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235402,168.52,0.034,,,,1762783553825,0,1762783553855,
2025-11-10T14:05:53.956Z,SOLUSDT,ws,ws,1,1703877097,168.52,0.026,,,,0,1762783553800,1762783553956,
2025-11-10T14:05:53.956Z,SOLUSDT,ws,ws,1,1703877098,168.52,5.004,,,,0,1762783553800,1762783553956,
2025-11-10T14:05:54.007Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235413,168.52,0.026,,,,1762783553956,0,1762783554007,
2025-11-10T14:05:54.007Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235414,168.52,5.004,,,,1762783553957,0,1762783554007,
2025-11-10T14:05:54.619Z,SOLUSDT,ws,ws,1,1703877099,168.51,0.035,,,,0,1762783554468,1762783554619,
2025-11-10T14:05:54.620Z,SOLUSDT,ws,ws,1,1703877100,168.51,0.303,,,,0,1762783554468,1762783554619,
2025-11-10T14:05:54.620Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235616,168.51,0.035,,,,1762783554611,0,1762783554620,
2025-11-10T14:05:54.620Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235617,168.51,0.303,,,,1762783554611,0,1762783554620,
2025-11-10T14:05:54.620Z,SOLUSDT,ws,ws,1,1703877101,168.51,1.562,,,,0,1762783554468,1762783554620,
2025-11-10T14:05:54.620Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235618,168.51,1.562,,,,1762783554611,0,1762783554620,
2025-11-10T14:05:54.620Z,SOLUSDT,ws,ws,1,1703877102,168.51,0.032,,,,0,1762783554468,1762783554620,
2025-11-10T14:05:54.620Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235619,168.51,0.032,,,,1762783554611,0,1762783554620,
2025-11-10T14:05:54.620Z,SOLUSDT,ws,ws,1,1703877103,168.51,0.032,,,,0,1762783554468,1762783554620,
2025-11-10T14:05:54.620Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235620,168.51,0.032,,,,1762783554611,0,1762783554620,
2025-11-10T14:05:54.620Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235621,168.51,0.032,,,,1762783554611,0,1762783554620,
2025-11-10T14:05:54.620Z,SOLUSDT,ws,ws,1,1703877104,168.51,0.032,,,,0,1762783554468,1762783554620,
2025-11-10T14:05:54.620Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235622,168.51,0.032,,,,1762783554611,0,1762783554620,
2025-11-10T14:05:54.620Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235623,168.51,0.03,,,,1762783554611,0,1762783554620,
2025-11-10T14:05:54.620Z,SOLUSDT,ws,ws,1,1703877105,168.51,0.032,,,,0,1762783554468,1762783554620,
2025-11-10T14:05:54.620Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235624,168.51,0.032,,,,1762783554611,0,1762783554620,
2025-11-10T14:05:54.620Z,SOLUSDT,ws,ws,1,1703877106,168.51,0.03,,,,0,1762783554468,1762783554620,
2025-11-10T14:05:54.620Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235625,168.51,0.032,,,,1762783554611,0,1762783554620,
2025-11-10T14:05:54.620Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235626,168.51,1.584,,,,1762783554611,0,1762783554620,
2025-11-10T14:05:54.620Z,SOLUSDT,ws,ws,1,1703877107,168.51,0.032,,,,0,1762783554468,1762783554620,
2025-11-10T14:05:54.621Z,SOLUSDT,ws,ws,1,1703877108,168.51,0.032,,,,0,1762783554468,1762783554620,
2025-11-10T14:05:54.621Z,SOLUSDT,ws,ws,1,1703877109,168.51,1.584,,,,0,1762783554468,1762783554621,
2025-11-10T14:05:54.825Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235658,168.51,4.306,,,,1762783554813,0,1762783554824,
2025-11-10T14:05:54.825Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235659,168.51,1.227,,,,1762783554813,0,1762783554824,
