ts_iso,symbol,source,subsource,kind,seq_or_tradeid,px,sz,bid,ask,mid,recv_ts,ws_ts,arrival_ms,price_diff,matched_with,note
2025-10-28T21:12:07.191Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10889,2.5762,2,,,,1761685927144,0,1761685927191,,,
2025-10-28T21:12:07.191Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10890,2.5762,2.1,,,,1761685927144,0,1761685927191,,,
2025-10-28T21:12:07.191Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10891,2.5762,2,,,,1761685927144,0,1761685927191,,,
2025-10-28T21:12:07.192Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10904,2.5762,2,,,,1761685927173,0,1761685927192,,,
2025-10-28T21:12:07.192Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10905,2.5762,2.1,,,,1761685927173,0,1761685927192,,,
2025-10-28T21:12:07.192Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10906,2.5762,2.1,,,,1761685927173,0,1761685927192,,,
2025-10-28T21:12:07.192Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10907,2.5762,0.2,,,,1761685927173,0,1761685927192,,,
2025-10-28T21:12:07.192Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10911,2.5762,1.8,,,,1761685927189,0,1761685927192,,,
2025-10-28T21:12:07.192Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10912,2.5762,2,,,,1761685927189,0,1761685927192,,,
2025-10-28T21:12:07.192Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10913,2.5762,2,,,,1761685927189,0,1761685927192,,,
2025-10-28T21:12:07.192Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10914,2.5762,2.1,,,,1761685927189,0,1761685927192,,,
2025-10-28T21:12:07.192Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10915,2.5762,2.1,,,,1761685927189,0,1761685927192,,,
2025-10-28T21:12:07.192Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10916,2.5762,2,,,,1761685927189,0,1761685927192,,,
2025-10-28T21:12:07.193Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10917,2.5762,2.1,,,,1761685927189,0,1761685927192,,,
2025-10-28T21:12:07.193Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10918,2.5762,2,,,,1761685927189,0,1761685927193,,,
2025-10-28T21:12:07.255Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10961,2.5762,21.5,,,,1761685927227,0,1761685927255,,,
2025-10-28T21:12:07.316Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10977,2.5761,2,,,,1761685927292,0,1761685927316,,,
2025-10-28T21:12:07.316Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10978,2.5761,2.1,,,,1761685927292,0,1761685927316,,,
2025-10-28T21:12:07.316Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10979,2.5761,2.1,,,,1761685927292,0,1761685927316,,,
2025-10-28T21:12:07.316Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10980,2.5761,2,,,,1761685927293,0,1761685927316,,,
2025-10-28T21:12:07.316Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10981,2.5761,2,,,,1761685927293,0,1761685927316,,,
2025-10-28T21:12:07.316Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10982,2.5761,2,,,,1761685927293,0,1761685927316,,,
2025-10-28T21:12:07.316Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10983,2.5761,367.6,,,,1761685927293,0,1761685927316,,,
2025-10-28T21:12:07.316Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10984,2.5761,169.4,,,,1761685927293,0,1761685927316,,,
2025-10-28T21:12:07.316Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10985,2.5761,2.7,,,,1761685927293,0,1761685927316,,,
2025-10-28T21:12:07.317Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10986,2.5761,2.1,,,,1761685927293,0,1761685927317,,,
2025-10-28T21:12:07.317Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10987,2.5761,2,,,,1761685927293,0,1761685927317,,,
2025-10-28T21:12:07.317Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10994,2.5761,2.1,,,,1761685927293,0,1761685927317,,,
2025-10-28T21:12:07.317Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10995,2.5761,2,,,,1761685927293,0,1761685927317,,,
2025-10-28T21:12:07.317Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10996,2.5761,2,,,,1761685927293,0,1761685927317,,,
2025-10-28T21:12:07.317Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10997,2.5761,2,,,,1761685927293,0,1761685927317,,,
2025-10-28T21:12:07.317Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10998,2.5761,232.5,,,,1761685927293,0,1761685927317,,,
2025-10-28T21:12:07.318Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,11011,2.5762,941.9,,,,1761685927295,0,1761685927318,,,
